iter	Passed	Remaining
0	10	10961
1	24	12003
2	37	12400
3	50	12493
4	61	12259
5	84	13976
6	113	16153
7	130	16189
8	144	15945
9	156	15510
10	167	15036
11	179	14781
12	190	14457
13	201	14180
14	211	13874
15	223	13738
16	234	13550
17	245	13384
18	256	13240
19	267	13090
20	277	12945
21	288	12833
22	301	12792
23	311	12687
24	323	12620
25	334	12520
26	345	12453
27	360	12516
28	372	12464
29	382	12371
30	393	12292
31	404	12224
32	415	12169
33	425	12094
34	436	12038
35	447	11970
36	459	11961
37	469	11897
38	481	11860
39	492	11808
40	502	11745
41	514	11731
42	525	11688
43	535	11641
44	546	11600
45	557	11552
46	572	11615
47	584	11584
48	594	11545
49	604	11486
50	615	11449
51	625	11405
52	637	11382
53	647	11346
54	658	11322
55	669	11286
56	680	11259
57	691	11230
58	703	11214
59	713	11172
60	729	11229
61	741	11225
62	753	11209
63	763	11171
64	774	11142
65	784	11106
66	795	11080
67	806	11051
68	817	11025
69	829	11017
70	840	10991
71	851	10977
72	862	10946
73	872	10921
74	882	10881
75	893	10862
76	904	10841
77	914	10811
78	927	10814
79	939	10801
80	950	10781
81	960	10747
82	971	10730
83	981	10707
84	992	10686
85	1004	10676
86	1015	10653
87	1026	10633
88	1036	10609
89	1048	10598
90	1058	10571
91	1070	10568
92	1084	10574
93	1094	10552
94	1105	10531
95	1116	10510
96	1126	10489
97	1137	10473
98	1148	10456
99	1159	10434
100	1170	10422
101	1180	10391
102	1191	10373
103	1202	10355
104	1213	10343
105	1223	10318
106	1234	10305
107	1245	10284
108	1255	10258
109	1266	10246
110	1277	10231
111	1287	10210
112	1298	10189
113	1308	10173
114	1319	10153
115	1331	10143
116	1342	10132
117	1353	10113
118	1363	10095
119	1374	10079
120	1385	10068
121	1395	10044
122	1406	10027
123	1415	10002
124	1429	10006
125	1441	9996
126	1452	9981
127	1462	9961
128	1473	9947
129	1484	9937
130	1496	9924
131	1506	9906
132	1516	9888
133	1528	9879
134	1539	9866
135	1552	9861
136	1564	9856
137	1579	9863
138	1591	9857
139	1602	9842
140	1612	9823
141	1624	9815
142	1635	9800
143	1645	9783
144	1663	9807
145	1676	9808
146	1690	9811
147	1705	9817
148	1718	9816
149	1730	9808
150	1741	9791
151	1752	9777
152	1762	9759
153	1773	9740
154	1784	9727
155	1794	9709
156	1805	9693
157	1815	9675
158	1828	9672
159	1839	9659
160	1850	9643
161	1861	9627
162	1871	9608
163	1881	9592
164	1893	9580
165	1904	9566
166	1914	9550
167	1925	9536
168	1935	9519
169	1946	9505
170	1958	9492
171	1967	9472
172	1979	9462
173	1989	9444
174	2001	9436
175	2012	9420
176	2022	9404
177	2036	9403
178	2047	9390
179	2058	9375
180	2068	9358
181	2080	9349
182	2094	9349
183	2109	9354
184	2119	9337
185	2132	9331
186	2142	9313
187	2152	9297
188	2163	9283
189	2172	9262
190	2183	9249
191	2193	9230
192	2204	9219
193	2216	9208
194	2227	9195
195	2238	9183
196	2249	9169
197	2260	9154
198	2270	9138
199	2281	9125
200	2292	9111
201	2305	9106
202	2315	9089
203	2325	9075
204	2338	9068
205	2349	9057
206	2359	9039
207	2370	9024
208	2381	9011
209	2391	8995
210	2402	8983
211	2413	8969
212	2422	8951
213	2434	8941
214	2445	8928
215	2454	8909
216	2465	8894
217	2475	8879
218	2485	8865
219	2496	8851
220	2506	8836
221	2517	8823
222	2528	8809
223	2539	8797
224	2550	8784
225	2563	8778
226	2573	8765
227	2586	8758
228	2598	8748
229	2607	8729
230	2620	8723
231	2631	8710
232	2642	8698
233	2651	8680
234	2663	8670
235	2674	8658
236	2684	8642
237	2694	8627
238	2705	8613
239	2715	8600
240	2726	8585
241	2737	8574
242	2747	8560
243	2758	8547
244	2770	8536
245	2781	8524
246	2791	8508
247	2801	8495
248	2811	8480
249	2822	8467
250	2834	8458
251	2844	8442
252	2855	8430
253	2865	8415
254	2876	8402
255	2886	8388
256	2896	8374
257	2907	8362
258	2918	8350
259	2929	8337
260	2939	8321
261	2949	8308
262	2959	8293
263	2971	8283
264	2981	8270
265	2991	8254
266	3002	8243
267	3014	8233
268	3027	8226
269	3037	8211
270	3048	8199
271	3058	8185
272	3067	8167
273	3079	8158
274	3093	8154
275	3104	8144
276	3116	8134
277	3129	8128
278	3139	8113
279	3149	8099
280	3159	8085
